,Channel,Light_status,mean_sleep_per_ind,No,Sex,Rep
181,adj_Monitor60_ch19,Day,0.649074074074074,66945,M,1
182,adj_Monitor56_ch30,Day,0.661111111111111,62872,M,1
183,adj_Monitor58_ch29,Day,0.315740740740741,62872,F,1
184,adj_Monitor1_ch31,Day,0.672453703703704,67422,M,1
185,adj_Monitor17_ch15,Day,0.819444444444444,82983,M,1
186,adj_Monitor22_ch6,Day,0.445138888888889,64498,M,1
187,adj_Monitor73_ch13,Day,0.711805555555556,57380,F,1
188,adj_Monitor56_ch8,Day,0.496064814814815,62872,M,1
189,adj_Monitor18_ch21,Day,0.647916666666667,80387,M,1
190,adj_Monitor60_ch5,Day,0.772685185185185,66945,M,1
191,adj_Monitor8_ch3,Day,0.497453703703704,56014,M,1
192,adj_Monitor2_ch13,Day,0.578703703703704,53328,M,1
193,adj_Monitor7_ch4,Day,0.562731481481481,TRiPsc,F,1
194,adj_Monitor5_ch18,Day,0.778935185185185,80387,F,1
195,adj_Monitor73_ch15,Day,0.590740740740741,57380,F,1
196,adj_Monitor20_ch29,Day,0.831712962962963,57713,M,1
197,adj_Monitor16_ch27,Day,0.619212962962963,67422,F,1
198,adj_Monitor58_ch10,Day,0.251157407407407,62872,F,1
199,adj_Monitor5_ch30,Day,0.598842592592593,80387,F,1
200,adj_Monitor56_ch25,Day,0.573148148148148,62872,M,1
201,adj_Monitor73_ch18,Day,0.508101851851852,57380,F,1
202,adj_Monitor16_ch14,Day,0.415972222222222,67422,F,1
203,adj_Monitor73_ch20,Day,0.769444444444444,57380,F,1
204,adj_Monitor5_ch19,Day,0.675231481481481,80387,F,1
205,adj_Monitor60_ch25,Day,0.806481481481481,66945,M,1
206,adj_Monitor2_ch10,Day,0.66412037037037,53328,M,1
207,adj_Monitor5_ch5,Day,0.614814814814815,80387,F,1
208,adj_Monitor1_ch27,Day,0.890277777777778,67422,M,1
209,adj_Monitor2_ch11,Day,0.647453703703704,53328,M,1
210,adj_Monitor1_ch6,Day,0.86875,67422,M,1
211,adj_Monitor6_ch10,Day,0.315740740740741,53328,F,1
212,adj_Monitor56_ch3,Day,0.441666666666667,62872,M,1
213,adj_Monitor16_ch13,Day,0.675694444444444,67422,F,1
214,adj_Monitor6_ch21,Day,0.764351851851852,53328,F,1
215,adj_Monitor5_ch14,Day,0.941435185185185,80387,F,1
216,adj_Monitor8_ch5,Day,0.612731481481481,56014,M,1
217,adj_Monitor72_ch23,Day,0.749074074074074,66945,F,1
218,adj_Monitor7_ch2,Day,0.397685185185185,TRiPsc,F,1
219,adj_Monitor22_ch7,Day,0.482407407407407,64498,M,1
220,adj_Monitor15_ch27,Day,0.735648148148148,57380,M,1
221,adj_Monitor18_ch2,Day,0.669907407407407,80387,M,1
222,adj_Monitor67_ch27,Day,0.452314814814815,57713,F,1
223,adj_Monitor73_ch29,Day,0.612962962962963,57380,F,1
224,adj_Monitor59_ch30,Day,0.684490740740741,55690,F,1
225,adj_Monitor5_ch7,Day,0.502083333333333,80387,F,1
226,adj_Monitor63_ch1,Day,0.45162037037037,56014,F,1
227,adj_Monitor77_ch22,Day,0.419907407407407,64498,F,1
228,adj_Monitor67_ch4,Day,0.429398148148148,57713,F,1
229,adj_Monitor67_ch12,Day,0.808564814814815,57713,F,1
230,adj_Monitor59_ch31,Day,0.67037037037037,55690,F,1
231,adj_Monitor67_ch22,Day,0.560416666666667,57713,F,1
232,adj_Monitor5_ch13,Day,0.883796296296296,80387,F,1
233,adj_Monitor67_ch3,Day,0.543055555555556,57713,F,1
