,Channel,bout_length,No,Sex,Rep
442,adj_Monitor24_ch10,6.172413793103448,TRiPsc,M,1
444,adj_Monitor24_ch11,5.25,TRiPsc,M,1
446,adj_Monitor24_ch12,5.733333333333333,TRiPsc,M,1
448,adj_Monitor24_ch13,7.666666666666667,TRiPsc,M,1
450,adj_Monitor24_ch14,6.8,TRiPsc,M,1
452,adj_Monitor24_ch15,8.2,TRiPsc,M,1
454,adj_Monitor24_ch16,5.5,TRiPsc,M,1
456,adj_Monitor24_ch17,8.272727272727273,TRiPsc,M,1
458,adj_Monitor24_ch18,6.5,TRiPsc,M,1
460,adj_Monitor24_ch19,6.166666666666667,TRiPsc,M,1
462,adj_Monitor24_ch20,6.357142857142857,TRiPsc,M,1
464,adj_Monitor24_ch21,6.684210526315789,TRiPsc,M,1
466,adj_Monitor24_ch22,5.5,TRiPsc,M,1
468,adj_Monitor24_ch23,7.666666666666667,TRiPsc,M,1
470,adj_Monitor24_ch24,6.714285714285714,TRiPsc,M,1
472,adj_Monitor24_ch25,7.485714285714286,TRiPsc,M,1
474,adj_Monitor24_ch26,6.583333333333333,TRiPsc,M,1
476,adj_Monitor24_ch27,8.303030303030303,TRiPsc,M,1
478,adj_Monitor24_ch28,6.3076923076923075,TRiPsc,M,1
480,adj_Monitor24_ch29,38.0,TRiPsc,M,1
482,adj_Monitor24_ch30,7.25,TRiPsc,M,1
484,adj_Monitor24_ch31,6.357142857142857,TRiPsc,M,1
486,adj_Monitor24_ch32,23.0,TRiPsc,M,1
488,adj_Monitor24_ch4,6.7727272727272725,TRiPsc,M,1
490,adj_Monitor24_ch5,6.037037037037037,TRiPsc,M,1
492,adj_Monitor24_ch6,5.866666666666666,TRiPsc,M,1
494,adj_Monitor24_ch7,5.533333333333333,TRiPsc,M,1
496,adj_Monitor24_ch8,7.25,TRiPsc,M,1
498,adj_Monitor24_ch9,8.1875,TRiPsc,M,1
500,adj_Monitor2_ch1,7.578947368421052,53328,M,1
502,adj_Monitor2_ch10,14.11111111111111,53328,M,1
504,adj_Monitor2_ch11,6.0,53328,M,1
506,adj_Monitor2_ch12,7.384615384615385,53328,M,1
508,adj_Monitor2_ch13,7.264705882352941,53328,M,1
