,Channel,Activity,No,Sex,Rep
1342,adj_Monitor77_ch22,628.1666666666666,64498,F,1
636,adj_Monitor56_ch13,628.0,62872,M,1
1040,adj_Monitor67_ch27,627.6666666666666,57713,F,1
1478,adj_Monitor8_ch26,627.1666666666666,56014,M,1
404,adj_Monitor22_ch22,626.8333333333334,64498,M,1
524,adj_Monitor2_ch2,625.6666666666666,53328,M,1
682,adj_Monitor56_ch5,625.5,62872,M,1
438,adj_Monitor22_ch9,625.0,64498,M,1
212,adj_Monitor18_ch2,624.0,80387,M,1
708,adj_Monitor58_ch17,623.5,62872,F,1
64,adj_Monitor16_ch1,622.8333333333334,67422,F,1
1054,adj_Monitor67_ch4,622.6666666666666,57713,F,1
1170,adj_Monitor72_ch29,622.1666666666666,66945,F,1
384,adj_Monitor22_ch13,621.0,64498,M,1
1208,adj_Monitor73_ch17,620.6666666666666,57380,F,1
1238,adj_Monitor73_ch30,619.1666666666666,57380,F,1
1408,adj_Monitor7_ch23,618.3333333333334,TRiPsc,F,1
1068,adj_Monitor6_ch10,612.3333333333334,53328,F,1
1420,adj_Monitor7_ch29,611.3333333333334,TRiPsc,F,1
1472,adj_Monitor8_ch23,610.5,56014,M,1
662,adj_Monitor56_ch25,610.0,62872,M,1
1350,adj_Monitor77_ch26,609.6666666666666,64498,F,1
1306,adj_Monitor75_ch6,609.5,55690,M,1
50,adj_Monitor15_ch32,609.0,57380,M,1
298,adj_Monitor1_ch31,607.3333333333334,67422,M,1
1052,adj_Monitor67_ch32,606.1666666666666,57713,F,1
1314,adj_Monitor77_ch1,605.5,64498,F,1
94,adj_Monitor16_ch23,604.0,67422,F,1
950,adj_Monitor63_ch15,603.5,56014,F,1
852,adj_Monitor5_ch27,603.3333333333334,80387,F,1
666,adj_Monitor56_ch27,601.5,62872,M,1
386,adj_Monitor22_ch14,600.5,64498,M,1
728,adj_Monitor58_ch26,600.5,62872,F,1
0,adj_Monitor15_ch1,600.0,57380,M,1
336,adj_Monitor20_ch2,597.3333333333334,57713,M,1
1376,adj_Monitor77_ch9,595.1666666666666,64498,F,1
398,adj_Monitor22_ch2,594.1666666666666,64498,M,1
938,adj_Monitor63_ch1,594.0,56014,F,1
104,adj_Monitor16_ch28,591.3333333333334,67422,F,1
1124,adj_Monitor6_ch8,590.3333333333334,53328,F,1
234,adj_Monitor18_ch30,590.0,80387,M,1
534,adj_Monitor2_ch24,589.5,53328,M,1
1150,adj_Monitor72_ch2,587.5,66945,F,1
1146,adj_Monitor72_ch18,586.8333333333334,66945,F,1
472,adj_Monitor24_ch25,586.6666666666666,TRiPsc,M,1
1204,adj_Monitor73_ch15,586.1666666666666,57380,F,1
22,adj_Monitor15_ch2,586.0,57380,M,1
1316,adj_Monitor77_ch10,585.3333333333334,64498,F,1
1384,adj_Monitor7_ch12,585.0,TRiPsc,F,1
106,adj_Monitor16_ch29,582.3333333333334,67422,F,1
1012,adj_Monitor67_ch14,582.0,57713,F,1
1004,adj_Monitor67_ch10,580.5,57713,F,1
854,adj_Monitor5_ch28,579.1666666666666,80387,F,1
1286,adj_Monitor75_ch25,578.6666666666666,55690,M,1
382,adj_Monitor22_ch12,577.3333333333334,64498,M,1
98,adj_Monitor16_ch25,575.3333333333334,67422,F,1
1094,adj_Monitor6_ch23,575.3333333333334,53328,F,1
228,adj_Monitor18_ch28,575.1666666666666,80387,M,1
1460,adj_Monitor8_ch18,574.8333333333334,56014,M,1
716,adj_Monitor58_ch20,574.5,62872,F,1
1370,adj_Monitor77_ch6,573.3333333333334,64498,F,1
1334,adj_Monitor77_ch19,572.1666666666666,64498,F,1
8,adj_Monitor15_ch13,572.1666666666666,57380,M,1
616,adj_Monitor54_ch4,571.6666666666666,82983,F,1
814,adj_Monitor5_ch1,571.5,80387,F,1
964,adj_Monitor63_ch21,571.3333333333334,56014,F,1
858,adj_Monitor5_ch30,567.3333333333334,80387,F,1
1016,adj_Monitor67_ch16,567.1666666666666,57713,F,1
1496,adj_Monitor8_ch5,565.5,56014,M,1
846,adj_Monitor5_ch24,565.0,80387,F,1
1086,adj_Monitor6_ch2,564.8333333333334,53328,F,1
948,adj_Monitor63_ch14,564.5,56014,F,1
402,adj_Monitor22_ch21,564.3333333333334,64498,M,1
590,adj_Monitor54_ch21,563.8333333333334,82983,F,1
638,adj_Monitor56_ch14,563.3333333333334,62872,M,1
1130,adj_Monitor72_ch10,562.8333333333334,66945,F,1
1128,adj_Monitor72_ch1,560.3333333333334,66945,F,1
1140,adj_Monitor72_ch15,559.6666666666666,66945,F,1
24,adj_Monitor15_ch20,559.6666666666666,57380,M,1
572,adj_Monitor54_ch13,559.5,82983,F,1
1290,adj_Monitor75_ch27,559.1666666666666,55690,M,1
88,adj_Monitor16_ch20,557.0,67422,F,1
688,adj_Monitor56_ch8,556.5,62872,M,1
1432,adj_Monitor7_ch5,556.1666666666666,TRiPsc,F,1
888,adj_Monitor60_ch15,553.8333333333334,66945,M,1
628,adj_Monitor56_ch1,552.8333333333334,62872,M,1
848,adj_Monitor5_ch25,552.1666666666666,80387,F,1
376,adj_Monitor22_ch1,551.1666666666666,64498,M,1
1318,adj_Monitor77_ch11,550.3333333333334,64498,F,1
1388,adj_Monitor7_ch14,550.0,TRiPsc,F,1
868,adj_Monitor5_ch6,549.5,80387,F,1
1374,adj_Monitor77_ch8,549.3333333333334,64498,F,1
788,adj_Monitor59_ch27,547.8333333333334,55690,F,1
698,adj_Monitor58_ch12,547.0,62872,F,1
1136,adj_Monitor72_ch13,545.8333333333334,66945,F,1
36,adj_Monitor15_ch26,545.5,57380,M,1
582,adj_Monitor54_ch18,545.3333333333334,82983,F,1
896,adj_Monitor60_ch19,543.3333333333334,66945,M,1
1002,adj_Monitor67_ch1,541.0,57713,F,1
1436,adj_Monitor7_ch7,540.8333333333334,TRiPsc,F,1
968,adj_Monitor63_ch23,539.5,56014,F,1
1132,adj_Monitor72_ch11,538.5,66945,F,1
984,adj_Monitor63_ch30,538.5,56014,F,1
314,adj_Monitor20_ch1,538.1666666666666,57713,M,1
172,adj_Monitor17_ch30,538.1666666666666,82983,M,1
680,adj_Monitor56_ch4,538.1666666666666,62872,M,1
516,adj_Monitor2_ch16,537.0,53328,M,1
142,adj_Monitor17_ch16,536.1666666666666,82983,M,1
356,adj_Monitor20_ch3,536.1666666666666,57713,M,1
1226,adj_Monitor73_ch25,534.5,57380,F,1
894,adj_Monitor60_ch18,534.3333333333334,66945,M,1
1066,adj_Monitor6_ch1,533.5,53328,F,1
762,adj_Monitor59_ch13,532.0,55690,F,1
1378,adj_Monitor7_ch1,531.5,TRiPsc,F,1
1424,adj_Monitor7_ch30,531.3333333333334,TRiPsc,F,1
12,adj_Monitor15_ch15,531.3333333333334,57380,M,1
1186,adj_Monitor72_ch7,531.0,66945,F,1
1288,adj_Monitor75_ch26,530.6666666666666,55690,M,1
184,adj_Monitor17_ch7,530.5,82983,M,1
956,adj_Monitor63_ch18,529.6666666666666,56014,F,1
696,adj_Monitor58_ch11,529.5,62872,F,1
92,adj_Monitor16_ch22,529.3333333333334,67422,F,1
1178,adj_Monitor72_ch32,529.1666666666666,66945,F,1
70,adj_Monitor16_ch12,528.5,67422,F,1
394,adj_Monitor22_ch18,528.1666666666666,64498,M,1
1456,adj_Monitor8_ch16,528.0,56014,M,1
374,adj_Monitor20_ch9,527.6666666666666,57713,M,1
836,adj_Monitor5_ch2,523.0,80387,F,1
1470,adj_Monitor8_ch22,522.3333333333334,56014,M,1
1060,adj_Monitor67_ch7,522.1666666666666,57713,F,1
380,adj_Monitor22_ch11,521.8333333333334,64498,M,1
528,adj_Monitor2_ch21,521.5,53328,M,1
1218,adj_Monitor73_ch21,521.3333333333334,57380,F,1
800,adj_Monitor59_ch32,520.8333333333334,55690,F,1
1024,adj_Monitor67_ch2,520.3333333333334,57713,F,1
1048,adj_Monitor67_ch30,518.6666666666666,57713,F,1
