,Channel,bout_length,No,Sex,Rep
902,adj_Monitor60_ch21,109.15942028985508,66945,M,1
904,adj_Monitor60_ch22,101.74242424242425,66945,M,1
906,adj_Monitor60_ch23,102.57142857142857,66945,M,1
908,adj_Monitor60_ch25,90.45454545454545,66945,M,1
910,adj_Monitor60_ch26,60.955357142857146,66945,M,1
912,adj_Monitor60_ch27,87.26315789473684,66945,M,1
914,adj_Monitor60_ch28,65.89108910891089,66945,M,1
916,adj_Monitor60_ch29,75.32183908045977,66945,M,1
918,adj_Monitor60_ch3,99.30985915492958,66945,M,1
920,adj_Monitor60_ch30,62.90291262135922,66945,M,1
922,adj_Monitor60_ch31,149.53846153846155,66945,M,1
924,adj_Monitor60_ch32,81.98571428571428,66945,M,1
926,adj_Monitor60_ch4,83.48101265822785,66945,M,1
928,adj_Monitor60_ch5,79.36559139784946,66945,M,1
930,adj_Monitor60_ch6,77.86363636363636,66945,M,1
932,adj_Monitor60_ch7,77.73626373626374,66945,M,1
934,adj_Monitor60_ch8,100.36923076923077,66945,M,1
936,adj_Monitor60_ch9,74.0618556701031,66945,M,1
938,adj_Monitor63_ch1,71.74324324324324,56014,F,1
940,adj_Monitor63_ch10,89.24242424242425,56014,F,1
942,adj_Monitor63_ch11,86.92957746478874,56014,F,1
944,adj_Monitor63_ch12,91.515625,56014,F,1
946,adj_Monitor63_ch13,87.04411764705883,56014,F,1
948,adj_Monitor63_ch14,71.66666666666667,56014,F,1
950,adj_Monitor63_ch15,63.34177215189873,56014,F,1
952,adj_Monitor63_ch16,59.63095238095238,56014,F,1
954,adj_Monitor63_ch17,94.29824561403508,56014,F,1
956,adj_Monitor63_ch18,64.0,56014,F,1
958,adj_Monitor63_ch19,68.34666666666666,56014,F,1
960,adj_Monitor63_ch2,69.2625,56014,F,1
962,adj_Monitor63_ch20,130.04255319148936,56014,F,1
964,adj_Monitor63_ch21,67.1875,56014,F,1
966,adj_Monitor63_ch22,137.4,56014,F,1
968,adj_Monitor63_ch23,52.91743119266055,56014,F,1
970,adj_Monitor63_ch24,59.92134831460674,56014,F,1
972,adj_Monitor63_ch25,42.23853211009175,56014,F,1
974,adj_Monitor63_ch26,71.97435897435898,56014,F,1
976,adj_Monitor63_ch27,82.04347826086956,56014,F,1
978,adj_Monitor63_ch28,59.76923076923077,56014,F,1
980,adj_Monitor63_ch29,107.45614035087719,56014,F,1
982,adj_Monitor63_ch3,97.06896551724138,56014,F,1
984,adj_Monitor63_ch30,90.96666666666667,56014,F,1
986,adj_Monitor63_ch31,180.34375,56014,F,1
988,adj_Monitor63_ch32,63.794871794871796,56014,F,1
990,adj_Monitor63_ch4,79.11235955056179,56014,F,1
992,adj_Monitor63_ch5,70.11904761904762,56014,F,1
994,adj_Monitor63_ch6,74.2089552238806,56014,F,1
996,adj_Monitor63_ch7,129.73584905660377,56014,F,1
998,adj_Monitor63_ch8,90.70769230769231,56014,F,1
1000,adj_Monitor63_ch9,116.52083333333333,56014,F,1
1002,adj_Monitor67_ch1,39.6044776119403,57713,F,1
1004,adj_Monitor67_ch10,45.54716981132076,57713,F,1
1006,adj_Monitor67_ch11,31.208333333333332,57713,F,1
1008,adj_Monitor67_ch12,129.66037735849056,57713,F,1
1010,adj_Monitor67_ch13,79.74324324324324,57713,F,1
1012,adj_Monitor67_ch14,50.24,57713,F,1
1014,adj_Monitor67_ch15,61.02020202020202,57713,F,1
1016,adj_Monitor67_ch16,44.5,57713,F,1
1018,adj_Monitor67_ch17,54.97701149425287,57713,F,1
1020,adj_Monitor67_ch18,52.51764705882353,57713,F,1
1022,adj_Monitor67_ch19,63.25,57713,F,1
1024,adj_Monitor67_ch2,47.75229357798165,57713,F,1
1026,adj_Monitor67_ch20,84.8955223880597,57713,F,1
1028,adj_Monitor67_ch21,33.27007299270073,57713,F,1
1030,adj_Monitor67_ch22,75.62337662337663,57713,F,1
1032,adj_Monitor67_ch23,78.22222222222223,57713,F,1
1034,adj_Monitor67_ch24,35.6,57713,F,1
1036,adj_Monitor67_ch25,59.0,57713,F,1
1038,adj_Monitor67_ch26,57.6,57713,F,1
1040,adj_Monitor67_ch27,57.833333333333336,57713,F,1
1042,adj_Monitor67_ch28,63.05263157894737,57713,F,1
1044,adj_Monitor67_ch29,49.58181818181818,57713,F,1
1046,adj_Monitor67_ch3,54.53465346534654,57713,F,1
1048,adj_Monitor67_ch30,57.47872340425532,57713,F,1
1050,adj_Monitor67_ch31,119.62264150943396,57713,F,1
1052,adj_Monitor67_ch32,62.44318181818182,57713,F,1
1054,adj_Monitor67_ch4,85.80645161290323,57713,F,1
1056,adj_Monitor67_ch5,54.535353535353536,57713,F,1
1058,adj_Monitor67_ch6,48.02173913043478,57713,F,1
1060,adj_Monitor67_ch7,46.357798165137616,57713,F,1
1062,adj_Monitor67_ch8,57.22826086956522,57713,F,1
1064,adj_Monitor67_ch9,74.64935064935065,57713,F,1
1066,adj_Monitor6_ch1,91.91228070175438,53328,F,1
1068,adj_Monitor6_ch10,67.8970588235294,53328,F,1
1070,adj_Monitor6_ch11,87.01449275362319,53328,F,1
1072,adj_Monitor6_ch12,75.4225352112676,53328,F,1
1074,adj_Monitor6_ch13,137.70731707317074,53328,F,1
1076,adj_Monitor6_ch14,117.5625,53328,F,1
1078,adj_Monitor6_ch15,99.44117647058823,53328,F,1
1080,adj_Monitor6_ch16,93.50819672131148,53328,F,1
1082,adj_Monitor6_ch17,112.38,53328,F,1
1084,adj_Monitor6_ch18,131.95,53328,F,1
1086,adj_Monitor6_ch2,74.68571428571428,53328,F,1
1088,adj_Monitor6_ch20,83.43835616438356,53328,F,1
1090,adj_Monitor6_ch21,112.1,53328,F,1
1092,adj_Monitor6_ch22,49.53508771929825,53328,F,1
1094,adj_Monitor6_ch23,134.2972972972973,53328,F,1
1096,adj_Monitor6_ch24,91.06122448979592,53328,F,1
1098,adj_Monitor6_ch25,154.3170731707317,53328,F,1
1100,adj_Monitor6_ch26,45.40909090909091,53328,F,1
1102,adj_Monitor6_ch27,76.91304347826087,53328,F,1
1104,adj_Monitor6_ch28,84.07042253521126,53328,F,1
1106,adj_Monitor6_ch29,64.5632183908046,53328,F,1
1108,adj_Monitor6_ch3,131.33333333333334,53328,F,1
1110,adj_Monitor6_ch30,69.20289855072464,53328,F,1
