,Channel,bout_length,No,Sex,Rep
256,adj_Monitor1_ch12,60.51851851851852,67422,M,1
258,adj_Monitor1_ch13,117.15625,67422,M,1
260,adj_Monitor1_ch14,112.80645161290323,67422,M,1
262,adj_Monitor1_ch15,130.58823529411765,67422,M,1
264,adj_Monitor1_ch16,317.27272727272725,67422,M,1
266,adj_Monitor1_ch17,134.6,67422,M,1
268,adj_Monitor1_ch18,150.48,67422,M,1
270,adj_Monitor1_ch19,115.39393939393939,67422,M,1
272,adj_Monitor1_ch2,177.66666666666666,67422,M,1
274,adj_Monitor1_ch20,150.3913043478261,67422,M,1
276,adj_Monitor1_ch21,103.39393939393939,67422,M,1
278,adj_Monitor1_ch22,119.56666666666666,67422,M,1
280,adj_Monitor1_ch23,215.3125,67422,M,1
282,adj_Monitor1_ch24,99.15151515151516,67422,M,1
284,adj_Monitor1_ch25,148.16,67422,M,1
286,adj_Monitor1_ch26,81.0,67422,M,1
288,adj_Monitor1_ch27,162.66666666666666,67422,M,1
290,adj_Monitor1_ch28,103.11428571428571,67422,M,1
292,adj_Monitor1_ch29,189.52631578947367,67422,M,1
294,adj_Monitor1_ch3,71.71739130434783,67422,M,1
296,adj_Monitor1_ch30,91.54054054054055,67422,M,1
298,adj_Monitor1_ch31,96.15625,67422,M,1
300,adj_Monitor1_ch32,91.05263157894737,67422,M,1
302,adj_Monitor1_ch4,99.33333333333333,67422,M,1
304,adj_Monitor1_ch5,63.0,67422,M,1
306,adj_Monitor1_ch6,113.71875,67422,M,1
308,adj_Monitor1_ch7,96.41666666666667,67422,M,1
310,adj_Monitor1_ch8,157.69565217391303,67422,M,1
312,adj_Monitor1_ch9,292.5,67422,M,1
314,adj_Monitor20_ch1,169.65,57713,M,1
316,adj_Monitor20_ch10,117.67857142857143,57713,M,1
318,adj_Monitor20_ch11,73.95652173913044,57713,M,1
320,adj_Monitor20_ch12,83.94736842105263,57713,M,1
322,adj_Monitor20_ch13,108.74285714285715,57713,M,1
324,adj_Monitor20_ch14,148.80769230769232,57713,M,1
326,adj_Monitor20_ch15,174.6,57713,M,1
328,adj_Monitor20_ch16,481.7142857142857,57713,M,1
330,adj_Monitor20_ch17,91.14285714285714,57713,M,1
332,adj_Monitor20_ch18,281.75,57713,M,1
334,adj_Monitor20_ch19,162.7826086956522,57713,M,1
336,adj_Monitor20_ch2,128.07142857142858,57713,M,1
338,adj_Monitor20_ch20,109.54545454545455,57713,M,1
340,adj_Monitor20_ch21,213.88235294117646,57713,M,1
