,Channel,Bout_Count,No,Sex,Rep
163000,adj_Monitor75_ch26,6.166666666666667,55690,M,1
163255,adj_Monitor75_ch27,11.0,55690,M,1
163563,adj_Monitor75_ch28,3.0,55690,M,1
163725,adj_Monitor75_ch29,1.8333333333333333,55690,M,1
163885,adj_Monitor75_ch3,6.333333333333333,55690,M,1
164063,adj_Monitor75_ch30,11.833333333333334,55690,M,1
164401,adj_Monitor75_ch32,6.166666666666667,55690,M,1
164739,adj_Monitor75_ch4,2.3333333333333335,55690,M,1
164951,adj_Monitor75_ch5,3.6666666666666665,55690,M,1
165241,adj_Monitor75_ch6,12.0,55690,M,1
165685,adj_Monitor75_ch7,9.333333333333334,55690,M,1
166011,adj_Monitor75_ch8,7.333333333333333,55690,M,1
166333,adj_Monitor75_ch9,3.6666666666666665,55690,M,1
166553,adj_Monitor77_ch1,1.0,64498,F,1
166747,adj_Monitor77_ch10,9.0,64498,F,1
167020,adj_Monitor77_ch11,5.333333333333333,64498,F,1
167367,adj_Monitor77_ch12,3.5,64498,F,1
167677,adj_Monitor77_ch13,6.333333333333333,64498,F,1
167999,adj_Monitor77_ch14,8.166666666666666,64498,F,1
168385,adj_Monitor77_ch15,4.166666666666667,64498,F,1
168601,adj_Monitor77_ch16,3.6666666666666665,64498,F,1
168923,adj_Monitor77_ch17,6.5,64498,F,1
169283,adj_Monitor77_ch18,4.333333333333333,64498,F,1
169571,adj_Monitor77_ch19,7.5,64498,F,1
169949,adj_Monitor77_ch2,5.0,64498,F,1
170241,adj_Monitor77_ch20,2.6666666666666665,64498,F,1
170517,adj_Monitor77_ch21,1.6666666666666667,64498,F,1
170693,adj_Monitor77_ch22,8.5,64498,F,1
170947,adj_Monitor77_ch23,3.6666666666666665,64498,F,1
171169,adj_Monitor77_ch24,4.666666666666667,64498,F,1
171425,adj_Monitor77_ch25,6.333333333333333,64498,F,1
171737,adj_Monitor77_ch26,9.833333333333334,64498,F,1
172146,adj_Monitor77_ch27,0.8333333333333334,64498,F,1
172257,adj_Monitor77_ch28,4.333333333333333,64498,F,1
172579,adj_Monitor77_ch29,2.6666666666666665,64498,F,1
172783,adj_Monitor77_ch3,11.166666666666666,64498,F,1
173097,adj_Monitor77_ch30,7.0,64498,F,1
173492,adj_Monitor77_ch31,8.0,64498,F,1
173855,adj_Monitor77_ch32,1.0,64498,F,1
174199,adj_Monitor77_ch4,5.5,64498,F,1
174633,adj_Monitor77_ch5,0.6666666666666666,64498,F,1
174893,adj_Monitor77_ch6,6.166666666666667,64498,F,1
175225,adj_Monitor77_ch7,4.0,64498,F,1
175495,adj_Monitor77_ch8,3.6666666666666665,64498,F,1
175797,adj_Monitor77_ch9,6.5,64498,F,1
176077,adj_Monitor7_ch1,2.5,TRiPsc,F,1
176217,adj_Monitor7_ch10,6.666666666666667,TRiPsc,F,1
176501,adj_Monitor7_ch11,4.0,TRiPsc,F,1
176715,adj_Monitor7_ch12,1.3333333333333333,TRiPsc,F,1
176875,adj_Monitor7_ch13,3.8333333333333335,TRiPsc,F,1
177119,adj_Monitor7_ch14,1.6666666666666667,TRiPsc,F,1
177393,adj_Monitor7_ch15,0.6666666666666666,TRiPsc,F,1
177621,adj_Monitor7_ch16,4.5,TRiPsc,F,1
177909,adj_Monitor7_ch17,3.5,TRiPsc,F,1
178309,adj_Monitor7_ch18,6.833333333333333,TRiPsc,F,1
178654,adj_Monitor7_ch19,4.333333333333333,TRiPsc,F,1
178903,adj_Monitor7_ch2,3.3333333333333335,TRiPsc,F,1
179171,adj_Monitor7_ch20,5.166666666666667,TRiPsc,F,1
179471,adj_Monitor7_ch21,0.6666666666666666,TRiPsc,F,1
179781,adj_Monitor7_ch22,2.8333333333333335,TRiPsc,F,1
180023,adj_Monitor7_ch23,4.333333333333333,TRiPsc,F,1
180335,adj_Monitor7_ch24,7.833333333333333,TRiPsc,F,1
180553,adj_Monitor7_ch25,1.1666666666666667,TRiPsc,F,1
180857,adj_Monitor7_ch26,4.166666666666667,TRiPsc,F,1
181160,adj_Monitor7_ch27,0.16666666666666666,TRiPsc,F,1
181363,adj_Monitor7_ch28,2.8333333333333335,TRiPsc,F,1
181575,adj_Monitor7_ch29,2.6666666666666665,TRiPsc,F,1
181943,adj_Monitor7_ch3,6.333333333333333,TRiPsc,F,1
182227,adj_Monitor7_ch30,5.833333333333333,TRiPsc,F,1
182557,adj_Monitor7_ch31,5.0,TRiPsc,F,1
182837,adj_Monitor7_ch32,4.0,TRiPsc,F,1
183079,adj_Monitor7_ch4,4.5,TRiPsc,F,1
183381,adj_Monitor7_ch5,0.3333333333333333,TRiPsc,F,1
183739,adj_Monitor7_ch6,0.3333333333333333,TRiPsc,F,1
183987,adj_Monitor7_ch7,5.5,TRiPsc,F,1
184283,adj_Monitor7_ch8,1.3333333333333333,TRiPsc,F,1
184445,adj_Monitor7_ch9,4.0,TRiPsc,F,1
184757,adj_Monitor8_ch1,2.3333333333333335,56014,M,1
185067,adj_Monitor8_ch10,6.166666666666667,56014,M,1
185382,adj_Monitor8_ch11,5.166666666666667,56014,M,1
185653,adj_Monitor8_ch12,4.166666666666667,56014,M,1
185987,adj_Monitor8_ch13,8.833333333333334,56014,M,1
186303,adj_Monitor8_ch14,3.6666666666666665,56014,M,1
186561,adj_Monitor8_ch15,1.6666666666666667,56014,M,1
186779,adj_Monitor8_ch16,7.333333333333333,56014,M,1
187015,adj_Monitor8_ch17,7.5,56014,M,1
187395,adj_Monitor8_ch18,4.5,56014,M,1
187733,adj_Monitor8_ch19,4.833333333333333,56014,M,1
187921,adj_Monitor8_ch2,3.1666666666666665,56014,M,1
188161,adj_Monitor8_ch20,6.0,56014,M,1
188373,adj_Monitor8_ch21,3.5,56014,M,1
188657,adj_Monitor8_ch22,3.5,56014,M,1
188851,adj_Monitor8_ch23,7.833333333333333,56014,M,1
189119,adj_Monitor8_ch24,5.333333333333333,56014,M,1
189379,adj_Monitor8_ch25,7.5,56014,M,1
189583,adj_Monitor8_ch26,6.0,56014,M,1
189873,adj_Monitor8_ch27,3.8333333333333335,56014,M,1
190093,adj_Monitor8_ch28,4.833333333333333,56014,M,1
190369,adj_Monitor8_ch29,5.0,56014,M,1
190603,adj_Monitor8_ch3,2.5,56014,M,1
190865,adj_Monitor8_ch30,3.5,56014,M,1
191101,adj_Monitor8_ch31,2.3333333333333335,56014,M,1
191365,adj_Monitor8_ch32,1.5,56014,M,1
191571,adj_Monitor8_ch4,3.6666666666666665,56014,M,1
191869,adj_Monitor8_ch5,10.833333333333334,56014,M,1
192275,adj_Monitor8_ch6,5.666666666666667,56014,M,1
192547,adj_Monitor8_ch7,2.3333333333333335,56014,M,1
192767,adj_Monitor8_ch8,5.333333333333333,56014,M,1
193051,adj_Monitor8_ch9,4.833333333333333,56014,M,1
